month,product,amount
june,Подписка на 3 месяца,3000
june,Подписка на 1 месяц,1300
june,Максимальная подписка на 12 месяцев,9000
june,Подписка на 1 месяц,1300
june,Подписка на 3 месяца,3000
july,Подписка на 6 месяцев,5500
july,Максимальная подписка на 12 месяцев,9000
july,Подписка на 1 месяц,1300
july,Подписка на 3 месяца,3000
july,Подписка  на 6 месяцев,5500
august,Подписка на 1 месяц,1300
august,Подписка на 3 месяца,3000
august,Максимальная подписка на 12 месяцев,9000
august,Подписка на 1 месяц,1300
august,Подписка на 6 месяцев,5500
september,Подписка на 3 месяца,3000
september,Подписка на 1 месяц,1300
september,Максимальная подписка на 12 месяцев,9000
september,Подписка на 6 месяцев,5500
september,Подписка на 3 месяца,3000
october,Подписка на 1 месяц,1300
october,Подписка на 3 месяца,3000
october,Максимальная подписка на 12 месяцев,9000
october,Подписка на 1 месяц,1300
october,Подписка на 6 месяцев,5500
