,,,folder,lesson_n,series_n,problem_n,title,name,file_len
1,0,0,lesson_1_0_intro,1,0,1,intro,problem_1.md,369
1,0,1,lesson_1_0_intro,1,0,2,intro,problem_2.md,744
1,0,2,lesson_1_0_intro,1,0,3,intro,problem_3.md,512
1,0,3,lesson_1_0_intro,1,0,4,intro,problem_4.md,382
1,0,4,lesson_1_0_intro,1,0,5,intro,problem_5.md,404
2,0,0,lesson_2_0_in_the_animal_world,2,0,1,in_the_animal_world,problem_1.md,202
2,0,1,lesson_2_0_in_the_animal_world,2,0,2,in_the_animal_world,problem_2.md,154
2,0,2,lesson_2_0_in_the_animal_world,2,0,3,in_the_animal_world,problem_3.md,172
2,0,3,lesson_2_0_in_the_animal_world,2,0,4,in_the_animal_world,problem_4.md,157
2,1,0,lesson_2_1_integer,2,1,1,integer,problem_1.md,152
2,1,1,lesson_2_1_integer,2,1,2,integer,problem_2.md,118
2,1,2,lesson_2_1_integer,2,1,3,integer,problem_3.md,82
2,1,3,lesson_2_1_integer,2,1,4,integer,problem_4.md,86
2,1,4,lesson_2_1_integer,2,1,5,integer,problem_5.md,75
2,2,0,lesson_2_2_float,2,2,1,float,problem_1.md,155
2,2,1,lesson_2_2_float,2,2,2,float,problem_2.md,369
2,2,2,lesson_2_2_float,2,2,3,float,problem_3.md,489
2,2,3,lesson_2_2_float,2,2,4,float,problem_4.md,355
2,2,4,lesson_2_2_float,2,2,5,float,problem_5.md,368
2,3,0,lesson_2_3_bool,2,3,1,bool,problem_1.md,145
2,3,1,lesson_2_3_bool,2,3,2,bool,problem_2.md,136
2,3,2,lesson_2_3_bool,2,3,3,bool,problem_3.md,600
2,4,0,lesson_2_4_type_conversion,2,4,1,type_conversion,problem_1.md,73
2,4,1,lesson_2_4_type_conversion,2,4,2,type_conversion,problem_2.md,87
2,4,2,lesson_2_4_type_conversion,2,4,3,type_conversion,problem_3.md,99
2,4,3,lesson_2_4_type_conversion,2,4,4,type_conversion,problem_4.md,62
2,5,0,lesson_2_5_numbers_operations,2,5,1,numbers_operations,problem_1.md,664
2,5,1,lesson_2_5_numbers_operations,2,5,2,numbers_operations,problem_2.md,233
2,5,2,lesson_2_5_numbers_operations,2,5,3,numbers_operations,problem_3.md,230
2,5,3,lesson_2_5_numbers_operations,2,5,4,numbers_operations,problem_4.md,391
2,5,4,lesson_2_5_numbers_operations,2,5,5,numbers_operations,problem_5.md,278
3,1,0,lesson_3_1_conditions,3,1,1,conditions,problem_1.md,100
3,1,1,lesson_3_1_conditions,3,1,2,conditions,problem_2.md,101
3,1,2,lesson_3_1_conditions,3,1,3,conditions,problem_3.md,75
3,2,0,lesson_3_2_else,3,2,1,else,problem_1.md,305
3,2,1,lesson_3_2_else,3,2,2,else,problem_2.md,309
3,2,2,lesson_3_2_else,3,2,3,else,problem_3.md,689
3,3,0,lesson_3_3_negation_operator,3,3,1,negation_operator,problem_1.md,199
3,3,1,lesson_3_3_negation_operator,3,3,2,negation_operator,problem_2.md,304
3,3,2,lesson_3_3_negation_operator,3,3,3,negation_operator,problem_3.md,585
3,4,0,lesson_3_4_operator_and,3,4,1,operator_and,problem_1.md,110
3,4,1,lesson_3_4_operator_and,3,4,2,operator_and,problem_2.md,173
3,4,2,lesson_3_4_operator_and,3,4,3,operator_and,problem_3.md,80
3,4,3,lesson_3_4_operator_and,3,4,4,operator_and,problem_4.md,80
3,4,4,lesson_3_4_operator_and,3,4,5,operator_and,problem_5.md,80
3,4,5,lesson_3_4_operator_and,3,4,6,operator_and,problem_6.md,80
3,5,0,lesson_3_5_operator_or,3,5,1,operator_or,problem_1.md,123
3,5,1,lesson_3_5_operator_or,3,5,2,operator_or,problem_2.md,226
3,5,2,lesson_3_5_operator_or,3,5,3,operator_or,problem_3.md,80
3,5,3,lesson_3_5_operator_or,3,5,4,operator_or,problem_4.md,80
3,5,4,lesson_3_5_operator_or,3,5,5,operator_or,problem_5.md,80
3,5,5,lesson_3_5_operator_or,3,5,6,operator_or,problem_6.md,80
3,6,0,lesson_3_6_comparison_operators,3,6,1,comparison_operators,problem_1.md,158
3,6,1,lesson_3_6_comparison_operators,3,6,2,comparison_operators,problem_2.md,172
3,6,2,lesson_3_6_comparison_operators,3,6,3,comparison_operators,problem_3.md,185
3,6,3,lesson_3_6_comparison_operators,3,6,4,comparison_operators,problem_4.md,177
3,6,4,lesson_3_6_comparison_operators,3,6,5,comparison_operators,problem_5.md,176
